Ticker,Type,Probability,Predicted Change,Predicted Variance,Confidence,Current Price,Target Price,SL Price,AIC Score
KAPSTON.NS,Short,0.4923159344747994,3.614096823194743,13.061695847426332,Low,253.2899932861328,244.1358476853085,260.15560248675104,4778.017089857702
GILLETTE.NS,Short,0.4479100427681018,1.984650578829955,3.938837920050076,High,9840.0,9644.710383043133,9986.46721271765,3508.531317782589
E2E.NS,Short,0.4907400029940801,3.8383990770741696,14.733307474883837,Low,3218.60009765625,3095.0573812131042,3311.2571349886093,5394.540845611547
EMAMIREAL.NS,Short,0.43909538808482096,2.794787740066993,7.810838512028771,High,112.01000213623047,108.87956032887833,114.35783349174457,5120.654599757411
KRITI.NS,Short,0.4637256283183586,4.440045466663338,19.71400374603766,Medium,131.67999267578125,125.8333411304776,136.06498133475898,4860.64434954977
GTPL.NS,Short,0.4342311825062984,1.909940521511952,3.647872795713347,High,114.63999938964844,112.45044358744448,116.2821662413014,4643.643867804232
BIRLACORPN.NS,Short,0.445886479772201,1.797645429483693,3.231529090143611,High,1282.9000244140625,1259.838030760338,1300.1965196543558,4514.711944144747
IMPEXFERRO.NS,Short,0.3041133396279707,2.4184065341236765,5.848690164292094,Very High,2.0299999713897705,1.9809063194389716,2.0668202103528697,4465.328682264743
BHARATSE.NS,,,,,,,,,
CARERATING.NS,Short,0.4500654700075236,2.259710104906631,5.106289758217138,High,1530.5,1495.915136844404,1556.438647366697,4442.079539874459
ESSENTIA.NS,Short,0.28657929239875213,0.997901499984539,0.9958074036713929,,,,,
ACUTAAS.NS,,,,,,,,,
HEG.NS,Long,0.5144366740742516,2.145756764863818,4.604272093958838,Low,521.9000244140625,533.0987294937531,513.5009956042945,4794.349534393109
DIACABS.NS,Short,0.4150607244894424,2.7026800545905147,7.304479477481387,High,160.5500030517578,156.2108501416335,163.80436773435105,2364.814299840841
ICRA.NS,Short,0.4506985853084226,1.5238622545828746,2.3221561709424017,High,6585.0,6484.6536705357175,6660.259747098212,3822.0548103700476
KANORICHEM.NS,Short,0.44846725358730105,1.737594711874914,3.0192353827356655,Low,82.72000122070312,81.28266285382932,83.79800499585848,4982.510720669532
AFIL.NS,Long,0.5333885830779505,3.584670331208427,12.849861383445933,Medium,8.369999885559082,8.670036788178898,8.14497220859422,488.31862353018187
BOROLTD.NS,Short,0.49730666765391557,1.915314435367385,3.668429386326685,Low,371.45001220703125,364.3355765030561,376.7858389850126,4663.81239607308
ADOR.NS,,,,,,,,,
BEARDSELL.NS,Short,0.37244148536249017,7.359959158724877,54.168998818098196,Low,35.79999923706055,33.165133914389074,37.776148229064155,5431.59371559811
EQUITASBNK.NS,Long,0.5047436759577323,1.947570608350825,3.793031274512003,Low,57.88999938964844,59.0174480029357,57.04441292968299,4355.854653075242
EPIGRAL.NS,Short,0.4061358471938008,1.6539500361884747,2.7355507222078566,High,1714.699951171875,1686.339670708944,1735.9701615190731,1506.45085592871
