Ticker,Type,Probability,Predicted Change,Predicted Variance,Confidence,Current Price,Target Price,SL Price,AIC Score
DIGIDRIVE DISTRIBUTORS LIMITED (XNSE:DIGIDRIVE),Short,0.438103506,2.543774397,6.470788183,High,30.65999985,29.88007862,31.12795258,253.8227477
SUNDRAM FASTENERS LIMITED (XNSE:SUNDRMFAST),Short,0.441466949,1.596540124,2.548940368,High,991.2000122,975.3751063,1000.694956,3222.704576
PRITIKA AUTO INDUSTRIES LIMITED (XNSE:PRITIKAUTO),Short,0.423480389,1.665143678,2.772703467,High,16.95000076,16.6677589,17.11934588,3110.602052
BOMBAY SUPER HYBRID SEEDS LIMITED (XNSE:BSHSL),Short,0.410719287,2.786001951,7.761806871,High,131.5,127.8364074,133.6981555,4082.774529
JUBILANT PHARMOVA LIMITED (XNSE:JUBLPHARMA),Short,0.43692618,2.541747717,6.460481458,High,1042.900024,1016.392137,1058.804757,3998.131522
IVP LTD (XNSE:IVP),Short,0.45993933,2.757702011,7.604920382,High,158.0500031,153.6914549,160.6651319,4230.943471
ALLIED DIGITAL SERVICES LIMITED (XNSE:ADSL),Short,0.459523428,4.404247249,19.39739383,High,178.5599976,170.6957738,183.2785318,4446.475357
SHEMAROO ENTERTAINMENT LIMITED (XNSE:SHEMAROO),Short,0.450999826,2.872814888,8.253065383,Low,113.75,110.4821731,115.7106962,4449.957543
ACC Limited (XNSE:ACC),Short,0.482677287,1.448469764,2.098064656,,,,,
KIRLOSKAR ELECTRIC COMPANY LIMITED (XNSE:KECL),Short,0.443535121,2.411392062,5.814811677,High,115.8099976,113.0173645,117.4855774,4478.848853
NOIDA TOLL BRIDGE COMPANY LIMITED (XNSE:NOIDATOLL),Short,0.414523458,3.939953222,15.52323139,Low,4.019999981,3.861613862,4.115031652,4164.806773
SAHYADRI INDUSTRIES LIMITED. (XNSE:SAHYADRI),Short,0.389728551,2.580214178,6.657505206,Very High,258.9899902,252.3074938,262.9994881,1128.032394
GAYATRI HIGHWAYS LIMITED (XNSE:GAYAHWS),Long,0.713478958,4.490182527,20.16173913,Very High,3.589999914,3.751197463,3.493281385,4225.041382
HIND RECTIFIERS LIMITED (XNSE:HIRECT),Short,0.438308985,2.659858722,7.074848423,High,1692.300049,1647.287258,1719.307723,4507.509239
ARTEMIS MEDICARE SERVICES LIMITED (XNSE:ARTEMISMED),Short,0.433787009,2.86429912,8.204209447,High,232.0200043,225.3742573,236.0074524,4051.471569
AADHAR HOUSING FINANCE LIMITED (XNSE:AADHARHFC),,,,,,,,,
RPSG VENTURES LIMITED (XNSE:RPSGVENT),Short,0.430587174,2.017615233,4.07077123,High,839.8499756,822.9050345,850.0169402,4051.827403
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED (XNSE:ICICIGI),,,,,,,,,
HOME FIRST FINANCE COMPANY INDIA LIMITED (XNSE:HOMEFIRST),Short,0.426662693,2.980733859,8.884774336,High,1178.699951,1143.566043,1199.780296,3529.942193
HLE GLASCOAT LIMITED (XNSE:HLEGLAS),Short,0.45283676,5.439107715,29.58389274,High,474.6499939,448.8332695,490.1400286,3280.044349
TOKYO PLAST INTERNATIONAL LTD (XNSE:TOKYOPLAST),Short,0.43512431,3.025820848,9.155591803,High,123.4800034,119.7437197,125.7217736,3976.349531
MOLD-TEK TECHNOLOGIES LIMITED (XNSE:MOLDTECH),Short,0.458566709,4.571501103,20.89862233,High,171.8899994,164.0320462,176.6047713,4292.190097
UNION BANK OF INDIA LIMITED (XNSE:UNIONBANK),Short,0.460665511,2.066072793,4.268656785,Medium,134.0800018,131.3098114,135.7421161,3909.322216
KHADIM INDIA LIMITED (XNSE:KHADIM),Short,0.46873371,3.380157043,11.42546164,Low,263.7999878,254.8831339,269.1501001,4115.154094
CHAMAN LAL SETIA EXPORTS LIMITED (XNSE:CLSEL),Short,0.422761658,2.323017605,5.396410791,High,266.2999878,260.1137922,270.0117052,3395.93454
SIEMENS LIMITED (XNSE:SIEMENS),Short,0.461365241,1.851196774,3.426929498,Medium,3096.300049,3038.981442,3130.691213,3432.684309
MMP INDUSTRIES LIMITED (XNSE:MMP),Short,0.440100621,2.552686198,6.516206826,High,279.4500122,272.3165303,283.7301013,4111.933831
SANGHVI MOVERS LIMITED (XNSE:SANGHVIMOV),Short,0.457634939,2.904995772,8.439000437,High,365.7999878,355.1735136,372.1758723,4422.15592
BSL LTD (XNSE:BSL),Short,0.454652376,2.654571551,7.04675012,Low,160.6900024,156.4243714,163.2493811,4262.286354
RISHABH INSTRUMENTS LIMITED (XNSE:RISHABH),Short,0.438078502,3.4027157,11.57847414,High,397.5,383.9742051,405.6154769,711.4007816
S H KELKAR AND COMPANY Limited (XNSE:SHK),Short,0.451622419,2.390734001,5.715609061,High,230.6600037,225.1455365,233.9686839,3991.615493
MALU PAPER MILLS LIMITED (XNSE:MALUPAPER),Short,0.448947439,3.045817021,9.277001325,High,38.77000046,37.58913718,39.47851842,4241.489204
DC INFOTECH AND COMMUNICATION LIMITED (XNSE:DCI),Short,0.468828111,2.67509039,7.156108594,Low,277.4899902,270.0668822,281.9438551,4020.792786
SAFARI INDUSTRIES (INDIA) LIMITED (XNSE:SAFARI),Short,0.488537628,2.064217998,4.260995944,Low,2191.199951,2145.968807,2218.338637,3787.231742
IL&FS TRANSPORTATION NETWORKS LIMITED (XNSE:IL&FSTRANS),Short,0.417609102,2.228774062,4.967433821,Low,3.079999924,3.011353684,3.121187667,4191.032925
COMPUCOM SOFTWARE LIMITED (XNSE:COMPUSOFT),Short,0.443218875,4.465694541,19.94242774,High,18.47999954,17.65473921,18.97515574,4306.577481
AARON INDUSTRIES LIMITED (XNSE:AARON),Short,0.444723401,2.739994817,7.507571595,High,190.3300018,185.1149696,193.4590211,4031.082381
G M BREWERIES LIMITED (XNSE:GMBREW),Short,0.47452617,1.583664826,2.507994282,Medium,705.5499878,694.3764408,712.254116,3476.514859
AURUM PROPTECH LIMITED (XNSE:AURUM),Short,0.48026691,3.505254923,12.28681207,Low,171.1100006,165.1121589,174.7087056,4123.81243
GUJARAT AMBUJA EXPORTS LIMITED (XNSE:GAEL),Short,0.452741582,1.886737605,3.559778789,High,105.3499985,103.3623204,106.5426053,4021.338964
UNITED POLYFAB GUJARAT LIMITED (XNSE:UNITEDPOLY),Short,0.423555802,3.599605867,12.9571624,High,49.63000107,47.84351664,50.70189173,4405.937798
SINDHU TRADE LINKS LIMITED (XNSE:SINDHUTRAD),Short,0.463684496,4.91835676,24.19023322,Medium,26.98999977,25.66253529,27.78647846,1081.044523
AARTECH SOLONICS LIMITED (XNSE:AARTECH),Short,0.455868438,2.397959104,5.750207865,High,54.31000137,53.00766975,55.09140035,908.4846984
THE KARUR VYSYA BANK LIMITED (XNSE:KARURVYSYA),Short,0.466580863,2.060909511,4.247348012,Medium,205.6399994,201.4019451,208.182832,3726.084972
FUTURE LIFESTYLE FASHIONS LIMITED (XNSE:FLFL),Short,0.373687342,2.636791224,6.952667961,Very High,1.659999967,1.616229233,1.686262407,4108.77471
ORIENT CEMENT LIMITED (XNSE:ORIENTCEM),Short,0.443893325,2.673451478,7.147342806,High,225.0099945,218.9944615,228.6193143,3878.026089
SBFC FINANCE LIMITED (XNSE:SBFC),Short,0.468704891,2.195973636,4.82230021,Medium,106.5699997,104.2297506,107.9741492,669.3982254
NDL VENTURES LIMITED (XNSE:NDLVENTURE),Short,0.429533223,2.349260452,5.519024673,Low,83.02999878,81.07940785,84.20035333,1606.208376
TITAN COMPANY LIMITED (XNSE:TITAN),Short,0.471491324,1.18168159,1.396371379,,,,,
DUCON INFRATECHNOLOGIES LIMITED (XNSE:DUCON),Short,0.378190252,3.322194618,11.03697708,Very High,5.480000019,5.297943753,5.589233778,4421.978855
EXIDE INDUSTRIES LIMITED (XNSE:EXIDEIND),Short,0.467723203,1.861820496,3.466375558,Medium,388.7999878,381.5612299,393.1432425,3411.537206
